Mon Dec  2 22:37:37 2024       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 565.57.01              Driver Version: 565.57.01      CUDA Version: 12.7     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-SXM2-32GB           On  |   00000000:3B:00.0 Off |                    0 |
| N/A   39C    P0             43W /  300W |       1MiB /  32768MiB |      0%   E. Process |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
cuda
Tesla V100-SXM2-32GB
Epoch: 1	Train loss: 2.692e-01	Val loss: 5.308e-02
Epoch: 2	Train loss: 3.568e-02	Val loss: 1.861e-02
Epoch: 3	Train loss: 2.043e-02	Val loss: 1.622e-02
Epoch: 4	Train loss: 1.461e-02	Val loss: 9.278e-03
Epoch: 5	Train loss: 1.265e-02	Val loss: 1.182e-02
Epoch: 6	Train loss: 1.180e-02	Val loss: 7.928e-03
Epoch: 7	Train loss: 9.995e-03	Val loss: 8.723e-03
Epoch: 8	Train loss: 9.818e-03	Val loss: 7.606e-03
Epoch: 9	Train loss: 8.388e-03	Val loss: 1.385e-02
Epoch: 10	Train loss: 7.396e-03	Val loss: 6.783e-03
Epoch: 11	Train loss: 7.115e-03	Val loss: 4.543e-03
Epoch: 12	Train loss: 7.005e-03	Val loss: 7.793e-03
Epoch: 13	Train loss: 5.926e-03	Val loss: 6.575e-03
Epoch: 14	Train loss: 6.295e-03	Val loss: 5.708e-03
Epoch: 15	Train loss: 5.297e-03	Val loss: 6.766e-03
Epoch: 16	Train loss: 5.463e-03	Val loss: 4.074e-03
Epoch: 17	Train loss: 5.042e-03	Val loss: 7.431e-03
Epoch: 18	Train loss: 4.610e-03	Val loss: 4.833e-03
Epoch: 19	Train loss: 4.236e-03	Val loss: 3.055e-03
Epoch: 20	Train loss: 3.998e-03	Val loss: 7.837e-03
Epoch: 21	Train loss: 4.404e-03	Val loss: 4.130e-03
Epoch: 22	Train loss: 4.042e-03	Val loss: 2.634e-03
Epoch: 23	Train loss: 3.822e-03	Val loss: 3.508e-03
Epoch: 24	Train loss: 3.530e-03	Val loss: 2.465e-03
Epoch: 25	Train loss: 3.702e-03	Val loss: 2.834e-03
Epoch: 26	Train loss: 3.451e-03	Val loss: 1.255e-02
Epoch: 27	Train loss: 3.264e-03	Val loss: 2.584e-03
Epoch: 28	Train loss: 3.130e-03	Val loss: 3.147e-03
Epoch: 29	Train loss: 3.253e-03	Val loss: 2.173e-03
Epoch: 30	Train loss: 2.843e-03	Val loss: 2.354e-03
Epoch: 31	Train loss: 3.143e-03	Val loss: 2.452e-03
Epoch: 32	Train loss: 2.732e-03	Val loss: 2.605e-03
Epoch: 33	Train loss: 2.911e-03	Val loss: 4.156e-03
Epoch: 34	Train loss: 2.663e-03	Val loss: 3.415e-03
Epoch: 35	Train loss: 2.583e-03	Val loss: 6.966e-03
Epoch: 36	Train loss: 2.538e-03	Val loss: 2.905e-03
Epoch: 37	Train loss: 2.859e-03	Val loss: 2.368e-03
Epoch: 38	Train loss: 2.394e-03	Val loss: 2.452e-03
Epoch: 39	Train loss: 2.494e-03	Val loss: 2.271e-03
Epoch: 40	Train loss: 2.313e-03	Val loss: 2.494e-03
Epoch: 41	Train loss: 2.363e-03	Val loss: 2.746e-03
Epoch: 42	Train loss: 2.411e-03	Val loss: 2.077e-03
Epoch: 43	Train loss: 2.328e-03	Val loss: 5.034e-03
Epoch: 44	Train loss: 2.196e-03	Val loss: 2.501e-03
Epoch: 45	Train loss: 2.280e-03	Val loss: 2.080e-03
Epoch: 46	Train loss: 1.984e-03	Val loss: 2.050e-03
Epoch: 47	Train loss: 2.292e-03	Val loss: 1.480e-03
Epoch: 48	Train loss: 2.029e-03	Val loss: 2.589e-03
Epoch: 49	Train loss: 2.094e-03	Val loss: 2.692e-03
Epoch: 50	Train loss: 1.940e-03	Val loss: 1.416e-03
Epoch: 51	Train loss: 1.974e-03	Val loss: 3.520e-03
Epoch: 52	Train loss: 2.148e-03	Val loss: 1.788e-03
Epoch: 53	Train loss: 1.874e-03	Val loss: 6.171e-03
Epoch: 54	Train loss: 1.711e-03	Val loss: 1.785e-03
Epoch: 55	Train loss: 1.931e-03	Val loss: 1.608e-03
Epoch: 56	Train loss: 1.954e-03	Val loss: 1.393e-03
Epoch: 57	Train loss: 1.801e-03	Val loss: 1.430e-03
Epoch: 58	Train loss: 1.755e-03	Val loss: 2.000e-03
Epoch: 59	Train loss: 1.926e-03	Val loss: 1.784e-03
Epoch: 60	Train loss: 1.734e-03	Val loss: 2.083e-03
Epoch: 61	Train loss: 1.669e-03	Val loss: 2.062e-03
Epoch: 62	Train loss: 1.648e-03	Val loss: 3.179e-03
Epoch: 63	Train loss: 1.853e-03	Val loss: 2.446e-03
Epoch: 64	Train loss: 1.591e-03	Val loss: 1.530e-03
Epoch: 65	Train loss: 1.767e-03	Val loss: 8.425e-03
Epoch: 66	Train loss: 1.650e-03	Val loss: 1.739e-03
Epoch: 67	Train loss: 1.810e-03	Val loss: 2.077e-03
Epoch: 68	Train loss: 1.618e-03	Val loss: 3.418e-03
Epoch: 69	Train loss: 1.555e-03	Val loss: 2.429e-03
Epoch: 70	Train loss: 1.643e-03	Val loss: 2.315e-03
Epoch: 71	Train loss: 1.763e-03	Val loss: 1.349e-03
